build,source_file,string_address,xref_address,xref_kind,caller_function,line_number,line_evidence,assert_call_address,assert_target,diagnostic_operand,message_kind,diagnostic_address,diagnostic,confidence
june_legacy,shell\shell.c,0x00487FD0,0x00402353,decoded push imm32,,428,adjacent decoded immediate push,0x00402358,0x00477920,0x48400c,immediate_string,0x0048400C,invalid difficulty value,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\shell.c,0x00487FD0,0x0040573A,decoded push imm32,,2902,adjacent decoded immediate push,0x0040573F,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\shell.c,0x00487FD0,0x00405CFC,decoded push imm32,,3073,adjacent decoded immediate push,0x00405D01,0x00477920,0x48410a,immediate_string,0x0048410A,illegal exit code in shell.open,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\shell.c,0x00487FD0,0x004061A5,decoded push imm32,,2902,adjacent decoded immediate push,0x004061AA,0x00477920,edi,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\biomenu.c,0x00488190,0x0040B9DB,decoded push imm32,,316,adjacent decoded immediate push,0x0040B9E0,0x00477920,edi,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\biomenu.c,0x00488190,0x0040BA15,decoded push imm32,,320,adjacent decoded immediate push,0x0040BA1A,0x00477920,edx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\pilotgui.c,0x00488310,0x00410116,decoded push imm32,,137,adjacent decoded immediate push,0x0041011B,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\commscrn.c,0x004883D0,0x004121CD,decoded push imm32,,349,adjacent decoded immediate push,0x004121D2,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\commscrn.c,0x004883D0,0x0041220E,decoded push imm32,,354,adjacent decoded immediate push,0x00412213,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\commscrn.c,0x004883D0,0x004122A5,decoded push imm32,,362,adjacent decoded immediate push,0x004122AA,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\commscrn.c,0x004883D0,0x0041296F,decoded push imm32,,614,adjacent decoded immediate push,0x00412974,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\commscrn.c,0x004883D0,0x00412A9A,decoded push imm32,,639,adjacent decoded immediate push,0x00412A9F,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\commscrn.c,0x004883D0,0x00413989,decoded push imm32,,1041,adjacent decoded immediate push,0x0041398E,0x00477920,0x48494f,immediate_string,0x0048494F,mission type index was greater than 3,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\missbrf.c,0x00488550,0x004146E5,decoded push imm32,,68,adjacent decoded immediate push,0x004146EA,0x00477920,0x4849c8,immediate_string,0x004849C8,mission number > MAX_CAMPAIGNS,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\hercbay.c,0x004885F0,0x00415116,decoded push imm32,,101,adjacent decoded immediate push,0x0041511B,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
