build,source_file,string_address,xref_address,xref_kind,caller_function,line_number,line_evidence,assert_call_address,assert_target,diagnostic_operand,message_kind,diagnostic_address,diagnostic,confidence
june_legacy,shell\hercbuy.c,0x00488628,0x00415D0F,decoded push imm32,,185,adjacent decoded immediate push,0x00415D14,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\hercbuy.c,0x00488628,0x00416D1D,decoded push imm32,,785,adjacent decoded immediate push,0x00416D22,0x00477920,0x484aa8,immediate_string,0x00484AA8,no text for purchase window,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\hbupgrad.c,0x00488818,0x00418AE3,decoded push imm32,,262,adjacent decoded immediate push,0x00418AE8,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\mphbase.c,0x00488A50,0x0041D175,decoded push imm32,,149,adjacent decoded immediate push,0x0041D17A,0x00477920,0x484b64,immediate_string,0x00484B64,"Tried to open Mph_base, already opened...",contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\mplaunch.c,0x00488AE8,0x0041F26D,decoded push imm32,,280,adjacent decoded immediate push,0x0041F272,0x00477920,0x484c24,immediate_string,0x00484C24,"Tried to open MpLaunch, already opened...try restarting CyberStorm.",contiguous decoded five-instruction dispatcher pattern
june_legacy,shell\mplaunch.c,0x00488AE8,0x00421617,decoded push imm32,,1247,adjacent decoded immediate push,0x0042161C,0x00477920,0x484c8b,immediate_string,0x00484C8B,impossible case value in setActiveButtons,contiguous decoded five-instruction dispatcher pattern
june_legacy,gui\flic.c,0x00488CB8,0x00423FA9,decoded push imm32,,42,adjacent decoded immediate push,0x00423FAE,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,gui\menu.c,0x00488D4C,0x0042612F,decoded push imm32,,261,adjacent decoded immediate push,0x00426134,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,terr\tgrid.c,0x00489DAC,0x00428D94,decoded push imm32,,118,adjacent decoded immediate push,0x00428D99,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,terr\tgrid.c,0x00489DAC,0x004294F3,decoded push imm32,,368,adjacent decoded immediate push,0x004294F8,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,terr\tdisplay.c,0x00489DBC,0x00429985,decoded push imm32,,113,adjacent decoded immediate push,0x0042998A,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,terr\tarea.c,0x00489DE0,0x0042AAF0,decoded push imm32,,143,adjacent decoded immediate push,0x0042AAF5,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,terr\tsurface.c,0x00489EFC,0x0042FA40,decoded push imm32,,795,adjacent decoded immediate push,0x0042FA45,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,terr\tsurface.c,0x00489EFC,0x0042FA5F,decoded push imm32,,799,adjacent decoded immediate push,0x0042FA64,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,terr\tsurface.c,0x00489EFC,0x0042FA86,decoded push imm32,,805,adjacent decoded immediate push,0x0042FA8B,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,terr\tsurface.c,0x00489EFC,0x0042FB1D,decoded push imm32,,832,adjacent decoded immediate push,0x0042FB22,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,terr\tfog.c,0x00489F48,0x00430E8E,decoded push imm32,,63,adjacent decoded immediate push,0x00430E93,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,terr\tbuild.c,0x00489F7C,0x0043152C,decoded push imm32,,93,adjacent decoded immediate push,0x00431531,0x00477920,ebx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,terr\tfast.c,0x00489FBC,0x00432AAB,decoded push imm32,,45,adjacent decoded immediate push,0x00432AB0,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,pop\psystem.c,0x00499908,0x00441E6B,decoded push imm32,,211,adjacent decoded immediate push,0x00441E70,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,pop\pherc.c,0x00499994,0x004435BC,decoded push imm32,,300,adjacent decoded immediate push,0x004435C1,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,pop\ppilot.c,0x004999C0,0x0044466D,decoded push imm32,,94,adjacent decoded immediate push,0x00444672,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,pop\ppilot.c,0x004999C0,0x004447EB,decoded push imm32,,133,adjacent decoded immediate push,0x004447F0,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,pop\pdeath.c,0x00499A24,0x00446888,decoded push imm32,,51,adjacent decoded immediate push,0x0044688D,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\sim.c,0x00499A94,0x00448A57,decoded push imm32,,515,adjacent decoded immediate push,0x00448A5C,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\sim.c,0x00499A94,0x00448A90,decoded push imm32,,518,adjacent decoded immediate push,0x00448A95,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\simdo.c,0x00499BE0,0x0044B632,decoded push imm32,,265,adjacent decoded immediate push,0x0044B637,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\simdo.c,0x00499BE0,0x0044CA92,decoded push imm32,,1005,adjacent decoded immediate push,0x0044CA97,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\simturn.c,0x00499BF8,0x0044DB63,decoded push imm32,,579,adjacent decoded immediate push,0x0044DB68,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\simturn.c,0x00499BF8,0x0044DC82,decoded push imm32,,579,adjacent decoded immediate push,0x0044DC87,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\simturn.c,0x00499BF8,0x0044E151,decoded push imm32,,579,adjacent decoded immediate push,0x0044E156,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\simturn.c,0x00499BF8,0x0044E1CD,decoded push imm32,,579,adjacent decoded immediate push,0x0044E1D2,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\simgame.c,0x00499C54,0x0044FCC4,decoded push imm32,,103,adjacent decoded immediate push,0x0044FCC9,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\simgame.c,0x00499C54,0x0044FE7B,decoded push imm32,,179,adjacent decoded immediate push,0x0044FE80,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\actorlst.c,0x00499DF0,0x00453945,decoded push imm32,,47,adjacent decoded immediate push,0x0045394A,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\actorlst.c,0x00499DF0,0x00453B2A,decoded push imm32,,130,adjacent decoded immediate push,0x00453B2F,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\actorlst.c,0x00499DF0,0x00453DA9,decoded push imm32,,232,adjacent decoded immediate push,0x00453DAE,0x00477920,edi,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\actoradd.c,0x00499E00,0x0045439D,decoded push imm32,,66,adjacent decoded immediate push,0x004543A2,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\actoradd.c,0x00499E00,0x00454431,decoded push imm32,,90,adjacent decoded immediate push,0x00454436,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\actoradd.c,0x00499E00,0x0045450B,decoded push imm32,,115,adjacent decoded immediate push,0x00454510,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\actoradd.c,0x00499E00,0x00454579,decoded push imm32,,140,adjacent decoded immediate push,0x0045457E,0x00477920,esi,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\worldact.c,0x00499E10,0x0045460F,decoded push imm32,,34,adjacent decoded immediate push,0x00454614,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\worldact.c,0x00499E10,0x00454650,decoded push imm32,,37,adjacent decoded immediate push,0x00454655,0x00477920,ebx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\worldact.c,0x00499E10,0x004548F1,decoded push imm32,,165,adjacent decoded immediate push,0x004548F6,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\anim.c,0x00499E20,0x0045565C,decoded push imm32,,541,adjacent decoded immediate push,0x00455661,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\anim.c,0x00499E20,0x004558D7,decoded push imm32,,599,adjacent decoded immediate push,0x004558DC,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\anim.c,0x00499E20,0x004559E1,decoded push imm32,,638,adjacent decoded immediate push,0x004559E6,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\anim.c,0x00499E20,0x00455D29,decoded push imm32,,732,adjacent decoded immediate push,0x00455D2E,0x00477920,ecx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\anim.c,0x00499E20,0x00455DC8,decoded push imm32,,757,adjacent decoded immediate push,0x00455DCD,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\anim.c,0x00499E20,0x00455E17,decoded push imm32,,732,adjacent decoded immediate push,0x00455E1C,0x00477920,edx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\anim.c,0x00499E20,0x00456048,decoded push imm32,,825,adjacent decoded immediate push,0x0045604D,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\anim.c,0x00499E20,0x0045607B,decoded push imm32,,732,adjacent decoded immediate push,0x00456080,0x00477920,ebp,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\anim.c,0x00499E20,0x00456148,decoded push imm32,,865,adjacent decoded immediate push,0x0045614D,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\animbmp.c,0x00499E80,0x00456FE1,decoded push imm32,,157,adjacent decoded immediate push,0x00456FE6,0x00477920,edi,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\animbmp.c,0x00499E80,0x00457213,decoded push imm32,,120,adjacent decoded immediate push,0x00457218,0x00477920,edx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\animbmp.c,0x00499E80,0x00457372,decoded push imm32,,166,adjacent decoded immediate push,0x00457377,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\animbmp.c,0x00499E80,0x004573E4,decoded push imm32,,187,adjacent decoded immediate push,0x004573E9,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\animfluf.c,0x0049BDC0,0x0045770B,decoded push imm32,,67,adjacent decoded immediate push,0x00457710,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\animfluf.c,0x0049BDC0,0x00457764,decoded push imm32,,86,adjacent decoded immediate push,0x00457769,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\target.c,0x0049BE88,0x00457FE5,decoded push imm32,,82,adjacent decoded immediate push,0x00457FEA,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\target.c,0x0049BE88,0x004580AA,decoded push imm32,,89,adjacent decoded immediate push,0x004580AF,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\apply.c,0x0049BF0C,0x00459354,decoded push imm32,,125,adjacent decoded immediate push,0x00459359,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\apply.c,0x0049BF0C,0x004598CA,decoded push imm32,,125,adjacent decoded immediate push,0x004598CF,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\apply.c,0x0049BF0C,0x0045A04C,decoded push imm32,,434,adjacent decoded immediate push,0x0045A051,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\weapai.c,0x0049BF54,0x0045A0B1,decoded push imm32,,135,adjacent decoded immediate push,0x0045A0B6,0x00477920,edx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\weapai.c,0x0049BF54,0x0045A3D8,decoded push imm32,,254,adjacent decoded immediate push,0x0045A3DD,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\weapai.c,0x0049BF54,0x0045A58B,decoded push imm32,,346,adjacent decoded immediate push,0x0045A590,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\weapai.c,0x0049BF54,0x0045A80E,decoded push imm32,,459,adjacent decoded immediate push,0x0045A813,0x00477920,edi,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\weapai.c,0x0049BF54,0x0045A8F5,decoded push imm32,,135,adjacent decoded immediate push,0x0045A8FA,0x00477920,edx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\weapai.c,0x0049BF54,0x0045ACBC,decoded push imm32,,671,adjacent decoded immediate push,0x0045ACC1,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\fxout.c,0x0049CD0C,0x0045B98D,decoded push imm32,,260,adjacent decoded immediate push,0x0045B992,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\fxout.c,0x0049CD0C,0x0045BD3D,decoded push imm32,,326,adjacent decoded immediate push,0x0045BD42,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\fxout.c,0x0049CD0C,0x0045C230,decoded push imm32,,382,adjacent decoded immediate push,0x0045C235,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\fxout.c,0x0049CD0C,0x0045C7CE,decoded push imm32,,456,adjacent decoded immediate push,0x0045C7D3,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\explo.c,0x0049CDA0,0x0045CE92,decoded push imm32,,100,adjacent decoded immediate push,0x0045CE97,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\explo.c,0x0049CDA0,0x0045D137,decoded push imm32,,264,adjacent decoded immediate push,0x0045D13C,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\explo.c,0x0049CDA0,0x0045D214,decoded push imm32,,313,adjacent decoded immediate push,0x0045D219,0x00477920,edx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\explo.c,0x0049CDA0,0x0045D373,decoded push imm32,,425,adjacent decoded immediate push,0x0045D378,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\explo.c,0x0049CDA0,0x0045D3AF,decoded push imm32,,427,adjacent decoded immediate push,0x0045D3B4,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\explo.c,0x0049CDA0,0x0045D4A3,decoded push imm32,,473,adjacent decoded immediate push,0x0045D4A8,0x00477920,edx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\explo.c,0x0049CDA0,0x0045D4DD,decoded push imm32,,475,adjacent decoded immediate push,0x0045D4E2,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\explo.c,0x0049CDA0,0x0045D544,decoded push imm32,,489,adjacent decoded immediate push,0x0045D549,0x00477920,edx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\explo.c,0x0049CDA0,0x0045D5A0,decoded push imm32,,492,adjacent decoded immediate push,0x0045D5A5,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,sim\explo.c,0x0049CDA0,0x0045D673,decoded push imm32,,517,adjacent decoded immediate push,0x0045D678,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\logic.c,0x0049D254,0x0045E58B,decoded push imm32,,262,adjacent decoded immediate push,0x0045E590,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lactor.c,0x0049D264,0x0045EFC6,decoded push imm32,,101,adjacent decoded immediate push,0x0045EFCB,0x00477920,edx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lactor.c,0x0049D264,0x0045EFF5,decoded push imm32,,108,adjacent decoded immediate push,0x0045EFFA,0x00477920,edx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lactor.c,0x0049D264,0x0045F020,decoded push imm32,,115,adjacent decoded immediate push,0x0045F025,0x00477920,edx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lactor.c,0x0049D264,0x0045F2EA,decoded push imm32,,224,adjacent decoded immediate push,0x0045F2EF,0x00477920,0x4854a0,immediate_string,0x004854A0,Unknown Test,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lactors.c,0x0049D2AC,0x0045F533,decoded push imm32,,103,adjacent decoded immediate push,0x0045F538,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lactors.c,0x0049D2AC,0x0045F58E,decoded push imm32,,114,adjacent decoded immediate push,0x0045F593,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lactors.c,0x0049D2AC,0x0045F5D6,decoded push imm32,,128,adjacent decoded immediate push,0x0045F5DB,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lactors.c,0x0049D2AC,0x0045F60D,decoded push imm32,,103,adjacent decoded immediate push,0x0045F612,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\miss.c,0x0049D2FC,0x00460AD4,decoded push imm32,,203,adjacent decoded immediate push,0x00460AD9,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\miss.c,0x0049D2FC,0x00460B60,decoded push imm32,,227,adjacent decoded immediate push,0x00460B65,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\bestloc.c,0x0049D428,0x004611FD,decoded push imm32,,154,adjacent decoded immediate push,0x00461202,0x00477920,edx,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\intel.c,0x0049D438,0x004628F3,decoded push imm32,,668,adjacent decoded immediate push,0x004628F8,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\intel.c,0x0049D438,0x00462915,decoded push imm32,,674,adjacent decoded immediate push,0x0046291A,0x00477920,0x48555c,immediate_string,0x0048555C,Unknown Target,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x00462CA1,decoded push imm32,,57,adjacent decoded immediate push,0x00462CA6,0x00477920,0x48556c,immediate_string,0x0048556C,old script -- remake,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x00462D31,decoded push imm32,,78,adjacent decoded immediate push,0x00462D36,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x00462DA6,decoded push imm32,,93,adjacent decoded immediate push,0x00462DAB,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x00462DF9,decoded push imm32,,96,adjacent decoded immediate push,0x00462DFE,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x00462F3B,decoded push imm32,,78,adjacent decoded immediate push,0x00462F40,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x00462F9D,decoded push imm32,,78,adjacent decoded immediate push,0x00462FA2,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x00463001,decoded push imm32,,78,adjacent decoded immediate push,0x00463006,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x0046316C,decoded push imm32,,183,adjacent decoded immediate push,0x00463171,0x00477920,0x48558d,immediate_string,0x0048558D,Bad Reference,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x00463355,decoded push imm32,,269,adjacent decoded immediate push,0x0046335A,0x00477920,0x4855a9,immediate_string,0x004855A9,Unknown Target,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x004637D6,decoded push imm32,,404,adjacent decoded immediate push,0x004637DB,0x00477920,0x4855b8,immediate_string,0x004855B8,Infinite Loop!,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x0046493D,decoded push imm32,,1292,adjacent decoded immediate push,0x00464942,0x00477920,0x4855dd,immediate_string,0x004855DD,unknown function,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x004649DA,decoded push imm32,,1351,adjacent decoded immediate push,0x004649DF,0x00477920,0x4855ee,immediate_string,0x004855EE,unknown function,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x00464C50,decoded push imm32,,183,adjacent decoded immediate push,0x00464C55,0x00477920,0x48558d,immediate_string,0x0048558D,Bad Reference,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x00464C73,decoded push imm32,,1406,adjacent decoded immediate push,0x00464C78,0x00477920,0x48560e,immediate_string,0x0048560E,bad opcode,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x00464D47,decoded push imm32,,1436,adjacent decoded immediate push,0x00464D4C,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\sinterp.c,0x0049D454,0x00464EF1,decoded push imm32,,1514,adjacent decoded immediate push,0x00464EF6,0x00477920,0x48561c,immediate_string,0x0048561C,string overflow,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lgen.c,0x0049D47C,0x00465129,decoded push imm32,,161,adjacent decoded immediate push,0x0046512E,0x00477920,0x48562c,immediate_string,0x0048562C,unknown actor type,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lgen.c,0x0049D47C,0x0046518B,decoded push imm32,,172,adjacent decoded immediate push,0x00465190,0x00477920,0x48563f,immediate_string,0x0048563F,Too many drop locations,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lgen.c,0x0049D47C,0x004654CC,decoded push imm32,,399,adjacent decoded immediate push,0x004654D1,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lgen.c,0x0049D47C,0x00465968,decoded push imm32,,581,adjacent decoded immediate push,0x0046596D,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lgen.c,0x0049D47C,0x00465AF6,decoded push imm32,,619,adjacent decoded immediate push,0x00465AFB,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lgen.c,0x0049D47C,0x00465B2B,decoded push imm32,,622,adjacent decoded immediate push,0x00465B30,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lgen.c,0x0049D47C,0x00465BB4,decoded push imm32,,646,adjacent decoded immediate push,0x00465BB9,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lgen.c,0x0049D47C,0x00465BEB,decoded push imm32,,657,adjacent decoded immediate push,0x00465BF0,0x00477920,0x0,null,,,contiguous decoded five-instruction dispatcher pattern
june_legacy,logic\lgen.c,0x0049D47C,0x00465C1F,decoded push imm32,,663,adjacent decoded immediate push,0x00465C24,0x00477920,eax,dynamic,,,contiguous decoded five-instruction dispatcher pattern
